Age,BusinessTravel,Department,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime
41,Travel_Rarely,Sales,Life Sciences,1,2,Female,Sales Executive,4,Single,5993,8,Y,Yes
49,Travel_Frequently,Research & Development,Life Sciences,2,3,Male,Research Scientist,2,Married,5130,1,Y,No
37,Travel_Rarely,Research & Development,Other,4,4,Male,Laboratory Technician,3,Single,2090,6,Y,Yes
33,Travel_Frequently,Research & Development,Life Sciences,5,4,Female,Research Scientist,3,Married,2909,1,Y,Yes
27,Travel_Rarely,Research & Development,Medical,7,1,Male,Laboratory Technician,2,Married,3468,9,Y,No
32,Travel_Frequently,Research & Development,Life Sciences,8,4,Male,Laboratory Technician,4,Single,3068,0,Y,No
59,Travel_Rarely,Research & Development,Medical,10,3,Female,Laboratory Technician,1,Married,2670,4,Y,Yes
30,Travel_Rarely,Research & Development,Life Sciences,11,4,Male,Laboratory Technician,3,Divorced,2693,1,Y,No
38,Travel_Frequently,Research & Development,Life Sciences,12,4,Male,Manufacturing Director,3,Single,9526,0,Y,No
36,Travel_Rarely,Research & Development,Medical,13,3,Male,Healthcare Representative,3,Married,5237,6,Y,No
35,Travel_Rarely,Research & Development,Medical,14,1,Male,Laboratory Technician,2,Married,2426,0,Y,No
29,Travel_Rarely,Research & Development,Life Sciences,15,4,Female,Laboratory Technician,3,Single,4193,0,Y,Yes
31,Travel_Rarely,Research & Development,Life Sciences,16,1,Male,Research Scientist,3,Divorced,2911,1,Y,No
34,Travel_Rarely,Research & Development,Medical,18,2,Male,Laboratory Technician,4,Divorced,2661,0,Y,No
28,Travel_Rarely,Research & Development,Life Sciences,19,3,Male,Laboratory Technician,3,Single,2028,5,Y,Yes
29,Travel_Rarely,Research & Development,Life Sciences,20,2,Female,Manufacturing Director,1,Divorced,9980,1,Y,No
32,Travel_Rarely,Research & Development,Life Sciences,21,1,Male,Research Scientist,2,Divorced,3298,0,Y,Yes
22,Non-Travel,Research & Development,Medical,22,4,Male,Laboratory Technician,4,Divorced,2935,1,Y,Yes
53,Travel_Rarely,Sales,Life Sciences,23,1,Female,Manager,4,Married,15427,2,Y,No
38,Travel_Rarely,Research & Development,Life Sciences,24,4,Male,Research Scientist,4,Single,3944,5,Y,Yes
24,Non-Travel,Research & Development,Other,26,1,Female,Manufacturing Director,3,Divorced,4011,0,Y,No
36,Travel_Rarely,Sales,Life Sciences,27,3,Male,Sales Representative,1,Single,3407,7,Y,No
34,Travel_Rarely,Research & Development,Life Sciences,28,1,Female,Research Director,2,Single,11994,0,Y,No
21,Travel_Rarely,Research & Development,Life Sciences,30,3,Male,Research Scientist,4,Single,1232,1,Y,No
34,Travel_Rarely,Research & Development,Medical,31,2,Male,Research Scientist,1,Single,2960,2,Y,No
53,Travel_Rarely,Research & Development,Other,32,3,Female,Manager,3,Divorced,19094,4,Y,No
32,Travel_Frequently,Research & Development,Life Sciences,33,2,Female,Research Scientist,1,Single,3919,1,Y,Yes
42,Travel_Rarely,Sales,Marketing,35,3,Male,Sales Executive,2,Married,6825,0,Y,No
44,Travel_Rarely,Research & Development,Medical,36,1,Female,Healthcare Representative,4,Married,10248,3,Y,No
46,Travel_Rarely,Sales,Marketing,38,2,Female,Manager,1,Single,18947,3,Y,No
33,Travel_Rarely,Research & Development,Medical,39,3,Male,Laboratory Technician,4,Single,2496,4,Y,No
44,Travel_Rarely,Research & Development,Other,40,4,Male,Healthcare Representative,4,Married,6465,2,Y,Yes
30,Travel_Rarely,Research & Development,Medical,41,4,Male,Laboratory Technician,3,Single,2206,1,Y,No
39,Travel_Rarely,Sales,Technical Degree,42,4,Male,Sales Representative,4,Married,2086,3,Y,No
24,Travel_Rarely,Research & Development,Medical,45,2,Male,Research Scientist,4,Married,2293,2,Y,Yes
43,Travel_Rarely,Research & Development,Medical,46,4,Female,Research Scientist,3,Divorced,2645,1,Y,No
50,Travel_Rarely,Sales,Marketing,47,1,Male,Sales Representative,3,Married,2683,1,Y,Yes
35,Travel_Rarely,Sales,Marketing,49,4,Female,Sales Representative,4,Married,2014,1,Y,No
36,Travel_Rarely,Research & Development,Life Sciences,51,2,Female,Research Scientist,1,Married,3419,9,Y,Yes
33,Travel_Frequently,Sales,Life Sciences,52,3,Female,Sales Executive,1,Married,5376,2,Y,No
35,Travel_Rarely,Research & Development,Other,53,3,Male,Laboratory Technician,4,Divorced,1951,1,Y,No
27,Travel_Rarely,Research & Development,Life Sciences,54,4,Female,Laboratory Technician,1,Divorced,2341,1,Y,No
26,Travel_Rarely,Research & Development,Life Sciences,55,1,Male,Laboratory Technician,3,Single,2293,1,Y,No
27,Travel_Frequently,Sales,Life Sciences,56,4,Male,Sales Executive,3,Single,8726,1,Y,No
30,Travel_Frequently,Research & Development,Medical,57,3,Female,Laboratory Technician,4,Single,4011,1,Y,No
41,Travel_Rarely,Research & Development,Technical Degree,58,2,Female,Research Director,3,Married,19545,1,Y,No
34,Non-Travel,Sales,Marketing,60,2,Male,Sales Executive,3,Single,4568,0,Y,No
